year,anc,dec
1976,811,69760
1977,11119,64778
1978,28722,65602
1979,34697,48568
1980,57302,61412
1981,76032,65304
1982,83854,57474
1983,95094,56484
1984,120865,66809
1985,143593,70863
1986,156887,70350
1987,195604,82490
1988,208594,77378
1989,264394,94808
1990,270372,89744
1991,304876,95862
1992,331915,96422
1993,360667,97694
1994,399112,101032
1995,414717,96753
1996,459904,105660
1997,479853,106408
1998,611134,146465
1999,667047,152539
2000,625334,123881
2001,773298,164950
2002,831541,166541
2003,891600,167799
2004,914154,163807
2005,888053,143834
2006,1021793,173787
2007,988134,157493
2008,1007764,157894
2009,1070560,167514
2010,1285329,219742
2011,1336492,224871
2012,1400552,245674
